index,url,valid,domain,title,description,image,published,archive,content,quote,language,term,topic,feed,country
https://www.newscientist.com/article/2377520-how-long-does-wildfire-smoke-last-and-is-it-dangerous/,https://www.newscientist.com/article/2377520-how-long-does-wildfire-smoke-last-and-is-it-dangerous/,0,www.newscientist.com,How long does wildfire smoke last and is it dangerous?,"Smoke from hundreds of wildfires burning in Canada has triggered air quality alerts across the northern US, including in New York City",https://images.newscientist.com/wp-content/uploads/2023/06/07163726/SEI_159279402.jpg,2023-06-07T16:55:20Z,https://web.archive.org/web/20230607175520/https://www.newscientist.com/article/2377520-how-long-does-wildfire-smoke-last-and-is-it-dangerous/,"Smoke from wildfires in Canada has descended onto cities such as New York
REUTERS/Amr Alfiky TPX IMAGES OF THE DAY
Smoke from hundreds of wildfires burning in Canada has triggered air quality alert… [+4324 chars]",,en,Wild Fire,Wildfire,reliefWeb,
https://www.marketscreener.com/quote/index/TOPIX-INDEX-61714390/news/Magnitude-6-2-earthquake-strikes-south-of-Java-Indonesia-EMSC-44063706/?utm_medium=RSS&utm_content=20230607,https://www.marketscreener.com/quote/index/TOPIX-INDEX-61714390/news/Magnitude-6-2-earthquake-strikes-south-of-Java-Indonesia-EMSC-44063706/?utm_medium=RSS&utm_content=20230607,0,www.marketscreener.com,"Magnitude 6.2 earthquake strikes south of Java, Indonesia -EMSC","(marketscreener.com) An earthquake of magnitude 6.2 struck Java, Indonesia on Thursday, the European-Mediterranean Seismological Centre said.https://www.marketscreener.com/quote/index/TOPIX-INDEX-61714390/news/Magnitude-6-2-earthquake-strikes-south-of-Java-In…",https://www.marketscreener.com/images/twitter_ZB_fdblanc.png,2023-06-07T17:18:37Z,,"(Reuters) - An earthquake of magnitude 6.2 struck Java, Indonesia on Thursday, the European-Mediterranean Seismological Centre (EMSC) said.
The quake was at a depth of 40 km (24.85 miles), EMSC said… [+64 chars]",,en,,,,
https://www.jpost.com/breaking-news/article-745558,https://www.jpost.com/breaking-news/article-745558,0,www.jpost.com,"Magnitude 6.2 earthquake strikes south of Java, Indonesia","An earthquake of magnitude 6.2 struck Java, Indonesia on Thursday, the European-Mediterranean Seismological Ce","https://images.jpost.com/image/upload/f_auto,fl_lossy/c_fill,g_faces:center,h_407,w_690/534687",2023-06-07T17:34:59Z,https://web.archive.org/web/20230607174108/https://www.jpost.com//breaking-news/article-745558,"An earthquake of magnitude 6.2 struck Java, Indonesia on Thursday, the European-Mediterranean Seismological Centre (EMSC) said.
The quake was at a depth of 40 km (24.85 miles), EMSC said.",,en,,,,
https://www.thestar.com.my/news/world/2023/06/08/1st-ld-strong-earthquake-hits-western-indonesia-no-potential-for-tsunami,https://www.thestar.com.my/news/world/2023/06/08/1st-ld-strong-earthquake-hits-western-indonesia-no-potential-for-tsunami,0,www.thestar.com.my,"1st LD: Strong earthquake hits western Indonesia, no potential for tsunami","JAKARTA, June 8 (Xinhua) -- A 6.0-magnitude earthquake struck off Indonesia's western province of East Java early Thursday, but did not potentially trigger a tsunami, the country's meteorology, climatology and geophysics agency said. Read full story",https://cdn.thestar.com.my/Themes/img/newTsol_logo_socmedia.png,2023-06-07T17:37:00Z,,"JAKARTA, June 8 (Xinhua) -- A 6.0-magnitude earthquake struck off Indonesia's western province of East Java early Thursday, but did not potentially trigger a tsunami, the country's meteorology, clima… [+354 chars]",,en,,,,
https://phys.org/news/2023-06-petrels-long-term-population-decline.html,https://phys.org/news/2023-06-petrels-long-term-population-decline.html,0,phys.org,Where have all the petrels gone? Long-term study shows 90% population decline,"To understand the effects of environmental changes on seabird populations, long-term studies are essential but rare. Biologists from Germany, Poland and Argentina have compiled data on the population dynamics and breeding success of Wilson's storm petrels in …",https://scx2.b-cdn.net/gfx/news/hires/2023/where-have-all-the-pet.jpg,2023-06-07T20:48:03Z,https://web.archive.org/web/20230607210028/https://phys.org/news/2023-06-petrels-long-term-population-decline.html,"To understand the effects of environmental changes on seabird populations, long-term studies are essential but rare. Biologists from Germany, Poland and Argentina have compiled data on the population… [+2605 chars]",,en,storm Germany,Storm,eswdList,Germany
https://phys.org/news/2023-06-philippines-volcano-spews-ash.html,https://phys.org/news/2023-06-philippines-volcano-spews-ash.html,0,phys.org,Philippines on alert as volcano spews ash,"Philippine scientists said that a ""hazardous eruption"" of a volcano in the archipelago could be days or weeks away, and urged the evacuation of nearby residents from their homes.",https://scx2.b-cdn.net/gfx/news/hires/2023/mayon.jpg,2023-06-08T08:00:13Z,https://web.archive.org/web/20230608080102/https://phys.org/news/2023-06-philippines-volcano-spews-ash.html,"Philippine scientists said that a ""hazardous eruption"" of a volcano in the archipelago could be days or weeks away, and urged the evacuation of nearby residents from their homes.
Hundreds of familie… [+2402 chars]",,en,Volcano Philippines,Volcano,reliefWeb,Philippines
https://www.aljazeera.com/news/2023/6/8/philippines-raises-alert-level-at-rumbling-mayon-volcano,https://www.aljazeera.com/news/2023/6/8/philippines-raises-alert-level-at-rumbling-mayon-volcano,0,www.aljazeera.com,Philippines raises alert level at rumbling Mayon volcano,"Superheated streams of gas, debris and rocks have cascaded down Mayon's slopes.",https://www.aljazeera.com/wp-content/uploads/2023/06/33HK3NV-highres-1686220515.jpg?resize=1920%2C1440,2023-06-08T11:05:20Z,https://web.archive.org/web/20230608112609/https://www.aljazeera.com/news/2023/6/8/philippines-raises-alert-level-at-rumbling-mayon-volcano,"Philippine officials have raised the alert level for one of the countrys most active volcanoes after superheated streams of gas, debris and rocks cascaded down its upper slope in a condition they fea… [+2259 chars]",,en,Volcano Philippines,Volcano,reliefWeb,Philippines
https://www.newscientist.com/article/2377520-how-long-will-the-wildfire-smoke-last-and-is-it-bad-for-your-health/,https://www.newscientist.com/article/2377520-how-long-will-the-wildfire-smoke-last-and-is-it-bad-for-your-health/,0,www.newscientist.com,How long will the wildfire smoke last and is it bad for your health?,"Smoke from hundreds of wildfires burning in Canada has triggered air quality alerts across the northern US, including in New York City",https://images.newscientist.com/wp-content/uploads/2023/06/08152917/SEI_159426040.jpg,2023-06-08T15:32:20Z,https://web.archive.org/web/20230608145350/https://www.newscientist.com/article/2377520-how-long-will-the-wildfire-smoke-last-and-is-it-bad-for-your-health/,"Smoke from wildfires in Canada has reached several cities, including New York
Lokman Vural Elibol/Anadolu Agency via Getty Images
Smoke from hundreds of wildfires burning in Canada has triggered ai… [+4518 chars]",,en,Wild Fire,Wildfire,reliefWeb,
https://www.globenewswire.com/news-release/2023/06/08/2685051/0/en/Electronic-Warfare-EW-market-is-projected-to-grow-at-a-CAGR-of-5-8-by-2033-Visiongain.html,https://www.globenewswire.com/news-release/2023/06/08/2685051/0/en/Electronic-Warfare-EW-market-is-projected-to-grow-at-a-CAGR-of-5-8-by-2033-Visiongain.html,0,www.globenewswire.com,Electronic Warfare (EW) market is projected to grow at a CAGR of 5.8% by 2033: Visiongain,"As per the report by Visiongain, the Global Electronic Warfare (EW) Market was valued at US$16.51 billion in 2022 and is projected to grow at a CAGR of 5.8% during the forecast period 2023-2033.",https://ml-eu.globenewswire.com/Resource/Download/6bdb779b-409b-453a-a1ac-5548f5b2a98e,2023-06-08T16:11:00Z,https://web.archive.org/web/20230609033629/https://www.globenewswire.com/news-release/2023/06/08/2685051/0/en/Electronic-Warfare-EW-market-is-projected-to-grow-at-a-CAGR-of-5-8-by-2033-Visiongain.html,"As per the report by Visiongain, the Global Electronic Warfare (EW) Market was valued at US$16.51 billion in 2022 and is projected to grow at a CAGR of 5.8% during the forecast period 2023-2033. 
Vi… [+8647 chars]",,en,M 5.8 - ,Earthquake,unknown,
https://motorsports.nbcsports.com/2023/06/08/nascar-growling-next-gen-camaro-24-hours-of-le-mans-jimmie-johnson-jenson-button-rick-hendrick-jim-france/?ocid=Yahoo&partner=ya5nbcs,https://motorsports.nbcsports.com/2023/06/08/nascar-growling-next-gen-camaro-24-hours-of-le-mans-jimmie-johnson-jenson-button-rick-hendrick-jim-france/?ocid=Yahoo&partner=ya5nbcs,0,motorsports.nbcsports.com,"With throaty roar, NASCAR Next Gen Camaro is taking Le Mans by storm on global stage","The engine of the Chevrolet Camaro has a distinct growl that cannot go unnoticed even among the most elite sports cars in the world at the 24 Hours of Le Mans. When the Hendrick Motorsports crew fired up the car inside Garage 56, NASCAR chairman Jim France br…",https://s.yimg.com/ny/api/res/1.2/COBBI0tnJ7JGkJ_mKkV58g--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://media.zenfs.com/en/nbcsports.com/9173da4bd0a975c5e18ff17eb67f1a6d,2023-06-08T20:00:34Z,,"Le Mans 24 Hour Race - Car Parade
LE MANS, France The V8 engine of the NASCAR Chevrolet Camaro has a distinct growl that cannot go unnoticed even among the most elite sports cars in the world at the… [+6079 chars]",,en,storm France,Storm,eswdList,France
