index,module,topic,feed,term,created,added,language,ratio,location,latitude,longitude,age
'8cbb4369a3',extremes,Earthquake,usgsEarthquake,Earthquake Angoram Papua New Guinea,2023-06-19T22:40:00+00:00,2023-06-26T02:20:00+00:00,en,0.4333333333333333,Papua New Guinea,-4.476,144.913,0
'90cae489c8',extremes,Earthquake,usgsEarthquake,Earthquake Kimbe Papua New Guinea,2023-06-11T11:34:00+00:00,2023-06-26T02:20:00+00:00,en,0.4333333333333333,Papua New Guinea,-6.2358,150.6449,0
'95402f8e13',extremes,Earthquake,usgsEarthquake,Earthquake Kirakira Solomon Islands,2023-05-28T03:29:00+00:00,2023-06-26T02:20:00+00:00,en,0.4666666666666666,Solomon Islands,-10.1728,161.2187,0
'95ff45edb5',extremes,Earthquake,usgsEarthquake,Earthquake Honchō Japan,2023-06-17T11:42:00+00:00,2023-06-26T02:20:00+00:00,en,0.4166666666666667,Japan,41.4158,142.6085,0
'99ce9f7be6',extremes,Earthquake,usgsEarthquake,Earthquake the Kamchatka Peninsula Russia,2023-05-31T14:01:00+00:00,2023-06-26T02:20:00+00:00,en,0.4583333333333333,Russia,55.3195,163.097,0
'9a78d3fca2',extremes,Tsunami,usgsEarthquake,Earthquake Tonga,2023-06-16T19:10:00+00:00,2023-06-26T02:20:00+00:00,en,0.5166666666666667,Tonga,-23.478,-175.5092,0
'a01f55a50a',extremes,Earthquake,usgsEarthquake,Earthquake Kokopo Papua New Guinea,2023-06-08T07:32:00+00:00,2023-06-26T02:20:00+00:00,en,0.4333333333333333,Papua New Guinea,-5.6556,151.9581,0
'a4385615ed',extremes,Earthquake,usgsEarthquake,Earthquake Pucallpa Peru,2023-05-29T04:57:00+00:00,2023-06-26T02:20:00+00:00,en,0.425,Peru,-7.9935,-74.5543,0
'a639eea19b',extremes,Earthquake,usgsEarthquake,Earthquake Las Khorey Somalia,2023-06-03T13:58:00+00:00,2023-06-26T02:20:00+00:00,en,0.4583333333333333,Somalia,12.5558,48.1003,0
'a9e4cc9158',extremes,Earthquake,usgsEarthquake,Earthquake Namuac Philippines,2023-06-17T10:15:00+00:00,2023-06-26T02:20:00+00:00,en,0.4583333333333333,Philippines,19.2034,121.2054,0
