index,module,topic,feed,term,created,added,language,ratio,location,latitude,longitude,age
'65e9d54aeb',extremes,Earthquake,unknown,"Earthquake 80 km SSW of Port-Vila, Vanuatu",2023-06-03T01:44:00+00:00,2023-06-23T06:43:00+00:00,en,0.4,"80 km SSW of Port-Vila, Vanuatu",-18.4392,168.1268,3
'a9b44108f6',extremes,Earthquake,unknown,"M 5.0 - 80 km SSW of Port-Vila, Vanuatu",2023-06-03T01:44:00+00:00,2023-06-23T06:43:00+00:00,en,0.4166666666666667,"80 km SSW of Port-Vila, Vanuatu",-18.4392,168.1268,3
'c4e08cf3f9',extremes,Earthquake,unknown,"M 5.0 - 17 km SE of Huambo, Peru",2023-06-03T02:48:00+00:00,2023-06-23T06:43:00+00:00,en,0.4166666666666667,"17 km SE of Huambo, Peru",-15.8418,-71.9907,3
'cff3221558',extremes,Earthquake,unknown,"Earthquake 82 km WNW of Kirakira, Solomon Islands",2023-05-28T03:29:00+00:00,2023-06-23T06:43:00+00:00,en,0.4,"82 km WNW of Kirakira, Solomon Islands",-10.1728,161.2187,3
'e1bb35c9f9',extremes,Earthquake,unknown,M 5.4 - southern Peru,2023-06-03T01:49:00+00:00,2023-06-23T06:43:00+00:00,en,0.45,southern Peru,-15.6705,-71.605,3
'38feade969',extremes,Volcano,unknown,Volcano Vanuatu,2023-05-25T00:00:00+00:00,2023-06-23T02:15:00+00:00,en,0.6,Vanuatu,-16.26,167.72,3
'3a5f3d5317',extremes,Flood,unknown,Flood United States of America,2023-05-24T00:00:00+00:00,2023-06-23T02:15:00+00:00,en,0.6,United States of America,39.38,-97.92,3
'3c230ce2fe',extremes,Snow Avalanche,unknown,Snow Avalanche,2023-05-25T00:00:00+00:00,2023-06-23T02:15:00+00:00,en,0.4,,,,3
'41d3bd6882',extremes,Land Slide,unknown,Land Slide United States of America,2023-05-24T00:00:00+00:00,2023-06-23T02:15:00+00:00,en,0.6,United States of America,39.38,-97.92,3
'434f9a7ee1',extremes,Volcano,unknown,Volcano,2023-05-25T00:00:00+00:00,2023-06-23T02:15:00+00:00,en,0.4,,,,3
'4911fbb404',extremes,Earthquake,unknown,Earthquake Panama,2023-05-25T00:00:00+00:00,2023-06-23T02:15:00+00:00,en,0.6,Panama,8.7,-80.27,3
'5c0424bdb8',extremes,Flood,unknown,Flood Afghanistan,2023-05-25T00:00:00+00:00,2023-06-23T02:15:00+00:00,en,0.6,Afghanistan,33.84,66.03,3
'b95c28cbc6',extremes,Drought,unknown,Drought Pakistan,2023-05-24T00:00:00+00:00,2023-06-23T02:15:00+00:00,en,0.6,Pakistan,29.97,69.39,3
'd0c1526e05',extremes,Drought,unknown,Drought Uganda,2023-05-24T00:00:00+00:00,2023-06-23T02:15:00+00:00,en,0.6,Uganda,1.28,32.39,3
'db885585ad',extremes,Snow Avalanche,unknown,Snow Avalanche Afghanistan,2023-05-25T00:00:00+00:00,2023-06-23T02:15:00+00:00,en,0.6,Afghanistan,33.84,66.03,3
'3c0844fedf',extremes,Earthquake,unknown,"Earthquake Rat Islands, Aleutian Islands, Alaska",2023-06-08T20:31:00+00:00,2023-06-22T20:54:00+00:00,en,0.4,"Rat Islands, Aleutian Islands, Alaska",52.1635,177.7598,3
