index,module,topic,color,feed,term,created,country,ratio,counter,pages,language,ipcc,continent
'06a976e98c',extremes,Flood,#030ba1,wmo,Flashflood Western Australia Fitzroy River,2024-02-21T02:38:00+00:00,Australia,0.7449050811392207,0.0,2.0,en,CAU,Oceania
'8bde5e01d5',extremes,Flood,#030ba1,wmo,Flashflood Bristol MA Plymouth MA,2024-03-08T07:57:00+00:00,United States,0.7449024425991558,0.0,2.0,en,CNA,North-America
'e81781fef8',extremes,Flood,#030ba1,wmo,Flashflood Brantley GA,2024-02-12T02:38:00+00:00,United States,0.7448392949125247,0.0,2.0,en,CNA,North-America
'3a6c2f0e77',extremes,Flood,#030ba1,wmo,Flooding Simpson MS,2024-03-10T02:40:00+00:00,United States,0.744821840945388,0.0,2.0,en,CNA,North-America
'7cb33b1881',extremes,Storm,#b3b2b1,wmo,Storm Surge Región Oriental y Occidental,2024-02-25T02:39:00+00:00,Paraguay,0.7448125332177131,0.0,2.0,en,SES,South-America
'63b7db5801',extremes,Fog,#d60d2b,wmo,Fog Sverdlovsk Region,2024-01-29T02:38:00+00:00,Russian Federation,0.7448080282105699,0.0,2.0,en,ESB,Europe
'764b2867c1',extremes,Flood,#030ba1,wmo,Flashflood Washington GA Wilkinson GA,2024-03-11T02:38:00+00:00,United States,0.7447985964360618,0.0,2.0,en,CNA,North-America
'37a3ba3d5f',extremes,Flood,#030ba1,wmo,Flooding Bristol MA Plymouth MA,2024-03-09T02:38:00+00:00,United States,0.7447756474302198,0.0,2.0,en,CNA,North-America
'727aff12f4',extremes,Flood,#030ba1,wmo,Flashflood Cumberland ME,2024-03-11T02:38:00+00:00,United States,0.7447096028811365,0.0,2.0,en,CNA,North-America
'08579e390c',extremes,Earthquake,#870007,usgs,Earthquake Yigo Village,2024-02-28T02:37:00+00:00,Guam,0.744690939602972,0.0,2.0,en,NPO,Pacific Ocean
'50681d646c',extremes,Flood,#030ba1,wmo,Flooding Hartford CT Hampden MA,2024-03-09T02:38:00+00:00,United States,0.7446623946834608,0.0,2.0,en,CNA,North-America
'11eb548daf',extremes,Precipitation,#d60d2b,wmo,Downpour BOENY SOFIA DIANA MELAKY,2024-02-15T02:38:00+00:00,Madagascar,0.7446381455112416,0.0,2.0,en,MDG,Africa
'dd97049f07',extremes,Fog,#d60d2b,wmo,Fog Cambridge Bay,2024-03-10T02:40:00+00:00,Canada,0.7445642984642401,0.0,2.0,en,NEN,North-America
'9ca1eb0a20',extremes,Drought,#edc291,edo,Drought Australia,2024-01-28T02:38:00+00:00,Australia,0.7445123308124856,0.0,2.0,en,CAU,Oceania
'f5f91b26f9',extremes,Flood,#030ba1,wmo,Flood Meriwether GA Pike GA,2024-02-13T02:38:00+00:00,United States,0.7444994938431524,0.0,2.0,en,CNA,North-America
